Ticker,Company,Sector,PE Ratio,Market Cap(in Billion),Market Cap
MRO,Marathon Oil Corporation,Energy Minerals,2262.602,17.38815611,Large Cap
MO,"Altria Group, Inc.",Consumer Non-Durables,522.1622,81.36463911,Large Cap
ANET,"Arista Networks, Inc.",Electronic Technology,471.4286,35.80700109,Large Cap
MTB,M&T Bank Corporation,Finance,397.9184,25.83194806,Large Cap
CI,Cigna Corporation,Health Services,332.8684,94.8463572,Large Cap
CPT,Camden Property Trust,Finance,195.6537,12.60546203,Large Cap
BIO,"Bio-Rad Laboratories, Inc.",Health Technology,192.2144,13.5549656,Large Cap
XRAY,DENTSPLY SIRONA Inc.,Health Technology,188.7779,7.736828247,Medium Cap
VFC,V.F. Corporation,Consumer Non-Durables,149.0847,11.94840761,Large Cap
HSIC,"Henry Schein, Inc.",Distribution Services,142.7054,10.77738813,Large Cap
CTAS,Cintas Corporation,Consumer Services,139.0821,45.34610602,Large Cap
GE,General Electric Company,Producer Manufacturing,121.7975,86.16780631,Large Cap
DHI,"D.R. Horton, Inc.",Consumer Durables,117.0839,32.93533662,Large Cap
JNPR,"Juniper Networks, Inc.",Electronic Technology,115.5059,10.2851653,Large Cap
KMB,Kimberly-Clark Corporation,Consumer Non-Durables,110.3589,45.97992501,Large Cap
META,"Meta Platforms, Inc.",Technology Services,105.8978,363.4021334,Large Cap
EXPD,"Expeditors International of Washington, Inc.",Transportation,101.0471,17.55433403,Large Cap
WEC,"WEC Energy Group, Inc.",Utilities,94.26752,30.55298972,Large Cap
MKTX,"MarketAxess Holdings, Inc.",Finance,94.19106,12.17965257,Large Cap
MCK,McKesson Corporation,Distribution Services,93.59519,54.00063128,Large Cap
AES,The AES Corporation,Utilities,93.53965,18.49552943,Large Cap
MSFT,Microsoft Corporation,Technology Services,87.31864,1777.966349,Large Cap
CMCSA,Comcast Corporation,Consumer Services,86.00884,167.2726778,Large Cap
CMA,Comerica Incorporated,Finance,82.41962,9.023931955,Medium Cap
FFIV,"F5, Inc.",Technology Services,82.26762,8.891088863,Medium Cap
KMX,CarMax Inc,Retail Trade,72.20932,10.56861115,Large Cap
ESS,"Essex Property Trust, Inc.",Finance,71.8182,14.27821614,Large Cap
TYL,"Tyler Technologies, Inc.",Technology Services,70.73114,13.18152671,Large Cap
CTRA,Coterra Energy Inc.,Energy Minerals,70.51956,20.01918544,Large Cap
IVZ,Invesco Ltd,Finance,69.48472,8.900134619,Medium Cap
FOXA,Fox Corporation,Consumer Services,68.818,17.00933152,Large Cap
VICI,VICI Properties Inc.,Finance,68.07198,32.76459101,Large Cap
EIX,Edison International,Utilities,65.20579,26.1393217,Large Cap
NRG,"NRG Energy, Inc.",Utilities,61.71108,7.515132392,Medium Cap
CDW,CDW Corporation,Technology Services,60.22945,26.18326371,Large Cap
SJM,J.M. Smucker Company (The) New,Consumer Non-Durables,59.29328,16.56637048,Large Cap
INCY,Incyte Corporation,Health Technology,58.88667,17.89815039,Large Cap
